No;type;QP;size
448;P;5.00;34288;
449;P;5.00;34286;
450;P;5.00;33014;
451;P;5.00;32563;
452;P;5.00;34794;
453;P;5.00;33139;
454;P;5.00;33874;
455;P;5.00;34313;
456;P;5.00;33917;
457;P;5.00;34287;
458;P;5.00;34547;
459;P;5.00;34206;
460;P;5.00;34005;
461;P;5.00;34584;
462;P;5.00;34267;
463;P;5.00;34370;
464;P;5.00;34601;
465;P;5.00;34128;
466;P;5.00;34059;
467;P;5.00;35856;
468;P;5.00;35206;
469;P;5.00;34643;
470;P;5.00;34579;
471;P;5.00;36652;
472;P;5.00;35152;
473;P;5.00;37022;
474;P;5.00;38686;
475;P;5.00;35785;
476;P;5.00;36174;
477;P;5.00;35003;
478;P;5.00;36966;
479;P;5.00;34781;
480;P;5.00;36069;
481;P;5.00;36260;
482;P;5.00;35571;
483;P;5.00;35922;
484;P;5.00;35547;
485;P;5.00;35554;
486;P;5.00;35259;
487;P;5.00;36470;
488;P;5.00;34769;
489;P;5.00;35083;
490;P;5.00;35359;
491;P;5.00;34459;
492;P;5.00;35800;
493;P;5.00;36005;
494;P;5.00;34741;
495;P;5.00;34520;
496;P;5.00;34779;
497;P;5.00;34740;
498;P;5.00;34475;
499;P;5.00;34812;
500;P;5.00;33976;
501;P;5.00;33552;
502;P;5.00;33882;
503;P;5.00;33733;
504;P;5.00;33090;
505;P;5.00;33240;
506;P;5.00;33648;
507;P;5.00;32391;
508;P;5.00;32486;
509;P;5.00;33200;
510;P;5.00;33346;
511;P;5.00;32980;
512;P;5.00;32100;
513;P;5.00;32051;
514;P;5.00;31755;
515;P;5.00;33284;
516;P;5.00;32811;
517;P;5.00;31935;
518;P;5.00;32321;
519;P;5.00;32730;
520;P;5.00;32725;
521;P;5.00;33350;
522;P;5.00;33930;
523;P;5.00;34721;
524;P;5.00;35123;
525;P;5.00;34031;
526;P;5.00;32374;
527;P;5.00;32480;
528;P;5.00;33111;
529;P;5.00;33196;
530;P;5.00;32983;
531;P;5.00;32176;
532;P;5.00;33146;
533;P;5.00;32415;
534;P;5.00;33541;
535;P;5.00;33978;
536;P;5.00;33004;
537;P;5.00;32873;
538;P;5.00;33810;
539;P;5.00;33365;
540;P;5.00;33369;
541;P;5.00;33435;
542;P;5.00;33274;
543;P;5.00;32959;
544;P;5.00;32154;
545;P;5.00;32320;
546;P;5.00;32349;
547;P;5.00;32936;
548;P;5.00;32259;
549;P;5.00;32937;
550;P;5.00;33278;
551;P;5.00;33570;
552;P;5.00;33836;
553;P;5.00;33511;
554;P;5.00;34308;
555;P;5.00;33947;
556;P;5.00;33764;
557;P;5.00;33620;
558;P;5.00;32770;
559;P;5.00;33343;
560;P;5.00;32824;
561;P;5.00;32265;
562;P;5.00;31100;
563;P;5.00;31868;
564;P;5.00;31338;
565;P;5.00;32058;
566;P;5.00;33005;
567;P;5.00;33360;
568;P;5.00;33691;
569;P;5.00;33766;
570;P;5.00;32844;
571;P;5.00;33037;
572;P;5.00;33319;
573;P;5.00;32453;
574;P;5.00;32171;
575;P;5.00;32704;
576;P;5.00;33422;
577;P;5.00;33585;
578;P;5.00;33231;
579;P;5.00;34296;
580;P;5.00;33490;
581;P;5.00;32813;
582;P;5.00;32671;
583;P;5.00;32510;
584;P;5.00;32695;
585;P;5.00;33410;
586;P;5.00;33737;
587;P;5.00;33492;
588;P;5.00;32785;
589;P;5.00;32035;
590;P;5.00;31788;
591;P;5.00;32108;
592;P;5.00;31298;
593;P;5.00;31534;
594;P;5.00;31442;
595;P;5.00;30941;
596;P;5.00;30863;
597;P;5.00;30589;
598;P;5.00;31340;
599;P;5.00;30793;
600;P;5.00;31125;
601;P;5.00;31046;
602;P;5.00;30663;
603;P;5.00;30746;
604;P;5.00;31009;
605;P;5.00;31825;
606;P;5.00;32057;
607;P;5.00;31856;
608;P;5.00;32010;
609;P;5.00;31205;
610;P;5.00;33322;
611;P;5.00;31241;
612;P;5.00;31383;
613;P;5.00;31982;
614;P;5.00;31884;
615;P;5.00;32491;
616;P;5.00;32664;
617;P;5.00;33816;
618;P;5.00;32774;
619;P;5.00;33614;
620;P;5.00;34150;
621;P;5.00;33488;
622;P;5.00;34235;
623;P;5.00;34778;
624;P;5.00;32912;
625;P;5.00;33288;
626;P;5.00;33653;
627;P;5.00;34817;
628;P;5.00;33818;
629;P;5.00;34827;
630;P;5.00;34306;
631;P;5.00;34106;
632;P;5.00;34142;
633;P;5.00;33526;
634;P;5.00;34165;
635;P;5.00;33767;
636;P;5.00;33721;
637;P;5.00;33834;
638;P;5.00;33862;
639;P;5.00;32691;
640;P;5.00;32899;
641;P;5.00;32263;
642;P;5.00;32714;
643;P;5.00;33366;
644;P;5.00;33126;
645;P;5.00;32318;
646;P;5.00;33096;
647;P;5.00;32819;
648;P;5.00;32063;
649;P;5.00;32119;
650;P;5.00;34002;
651;P;5.00;33370;
652;P;5.00;33084;
653;P;5.00;34009;
654;P;5.00;33649;
655;P;5.00;33941;
656;P;5.00;34296;
657;P;5.00;33520;
658;P;5.00;34269;
659;P;5.00;34361;
660;P;5.00;33458;
661;P;5.00;33491;
662;P;5.00;33801;
663;P;5.00;32671;
664;P;5.00;33129;
665;P;5.00;32983;
666;P;5.00;32015;
667;P;5.00;31889;
668;P;5.00;33219;
669;P;5.00;34092;
670;P;5.00;32612;
671;P;5.00;33296;
672;P;5.00;33479;
673;P;5.00;34323;
674;P;5.00;34408;
675;P;5.00;35003;
676;P;5.00;34558;
677;P;5.00;35161;
678;P;5.00;34882;
679;P;5.00;34651;
680;P;5.00;35775;
681;P;5.00;34098;
682;P;5.00;34411;
683;P;5.00;34486;
684;P;5.00;33945;
685;P;5.00;34252;
686;P;5.00;34874;
687;P;5.00;33962;
688;P;5.00;33793;
689;P;5.00;33870;
690;P;5.00;34354;
691;P;5.00;33877;
692;P;5.00;34057;
693;P;5.00;34030;
694;P;5.00;33489;
695;P;5.00;34478;
696;P;5.00;34846;
697;P;5.00;34003;
698;P;5.00;33946;
699;P;5.00;33501;
700;P;5.00;33126;
701;P;5.00;33716;
702;P;5.00;32123;
703;P;5.00;33239;
704;P;5.00;32456;
705;P;5.00;33634;
706;P;5.00;31453;
707;P;5.00;31659;
708;P;5.00;32180;
709;P;5.00;32198;
710;P;5.00;31801;
711;P;5.00;32757;
712;P;5.00;31861;
713;P;5.00;32091;
714;P;5.00;33303;
715;P;5.00;32824;
716;P;5.00;31059;
717;P;5.00;31685;
718;P;5.00;31562;
719;P;5.00;31138;
720;P;5.00;31063;
721;P;5.00;30843;
722;P;5.00;31403;
723;P;5.00;31418;
724;P;5.00;30575;
725;P;5.00;31568;
726;P;5.00;31235;
727;P;5.00;33754;
728;P;5.00;33479;
729;P;5.00;32095;
730;P;5.00;31159;
731;P;5.00;31770;
732;P;5.00;31763;
733;P;5.00;31495;
734;P;5.00;31521;
735;P;5.00;31296;
736;P;5.00;33124;
737;P;5.00;32820;
738;P;5.00;33046;
739;P;5.00;32493;
740;P;5.00;32613;
741;P;5.00;33052;
742;P;5.00;33438;
743;P;5.00;33249;
744;P;5.00;34109;
745;P;5.00;35231;
746;P;5.00;33918;
747;P;5.00;35779;
748;P;5.00;35787;
749;P;5.00;33756;
750;P;5.00;33991;
751;P;5.00;33623;
752;P;5.00;33358;
753;P;5.00;34066;
754;P;5.00;34045;
755;P;5.00;33558;
756;P;5.00;33305;
757;P;5.00;33691;
758;P;5.00;34028;
759;P;5.00;34040;
760;P;5.00;34008;
761;P;5.00;34365;
762;P;5.00;34220;
763;P;5.00;34198;
764;P;5.00;32882;
765;P;5.00;32800;
766;P;5.00;33719;
767;P;5.00;32703;
768;P;5.00;32397;
769;P;5.00;32595;
770;P;5.00;34154;
771;P;5.00;34286;
772;P;5.00;33645;
773;P;5.00;34202;
774;P;5.00;34507;
775;P;5.00;34012;
776;P;5.00;33528;
777;P;5.00;33440;
778;P;5.00;32563;
779;P;5.00;33292;
780;P;5.00;33558;
781;P;5.00;34565;
782;P;5.00;33894;
783;P;5.00;36870;
784;P;5.00;35941;
785;P;5.00;35394;
786;P;5.00;34298;
787;P;5.00;33534;
788;P;5.00;33181;
789;P;5.00;32656;
790;P;5.00;33792;
791;P;5.00;32790;
792;P;5.00;32350;
793;P;5.00;33266;
794;P;5.00;32580;
795;P;5.00;31546;
796;P;5.00;31742;
797;P;5.00;32279;
798;P;5.00;31528;
799;P;5.00;31768;
800;P;5.00;32905;
801;P;5.00;32845;
802;P;5.00;32632;
803;P;5.00;32725;
804;P;5.00;32069;
805;P;5.00;32478;
806;P;5.00;32562;
807;P;5.00;32185;
808;P;5.00;32127;
809;P;5.00;31258;
810;P;5.00;31509;
811;P;5.00;31186;
812;P;5.00;31763;
813;P;5.00;31594;
814;P;5.00;31273;
815;P;5.00;32265;
816;P;5.00;32309;
817;P;5.00;31643;
